cultivar,fertilizer,yield
A,100g,30.77816
A,100g,38.49431579
A,200g,44.66109448
A,200g,46.45329231
A,300g,56.5152
A,300g,53.27307692
A,100g,38.7072
A,100g,42.29148475
A,200g,39.49644255
A,200g,50.37169612
A,300g,44.72740741
A,300g,67.62969897
B,100g,38.2158
B,100g,37.1574
B,200g,40.46112
B,200g,35.6076
B,300g,41.88618
B,300g,46.3806
B,100g,33.5748
B,100g,39.18432
B,200g,36.46188
B,200g,45.5112
B,300g,40.07808
B,300g,34.4568
C,100g,46.9308
C,100g,45.240825
C,200g,57.720306
C,200g,50.236935
C,300g,41.464605
C,300g,39.731895
C,100g,44.030196
C,100g,43.428882
C,200g,55.309212
C,200g,44.13528
C,300g,47.6301
C,300g,47.398722
