germination,size,germination_rate,nutrition
0,10,0,1.113
1,10,0.1,1.411
0,10,0,1.162
0,10,0,1.181
0,10,0,1.422
0,10,0,2.237
0,10,0,2.081
1,10,0.1,2.04
1,10,0.1,2.387
1,10,0.1,2.183
3,10,0.3,3.098
1,10,0.1,3.159
2,10,0.2,3.129
1,10,0.1,3.265
2,10,0.2,3.152
2,10,0.2,4.133
3,10,0.3,4.141
4,10,0.4,4.127
1,10,0.1,4.003
5,10,0.5,4.151
4,10,0.4,5.331
6,10,0.6,5.229
4,10,0.4,5.27
4,10,0.4,5.447
4,10,0.4,5.099
4,10,0.4,6.455
4,10,0.4,6.312
6,10,0.6,6.461
5,10,0.5,6.427
3,10,0.3,6.373
8,10,0.8,7.406
7,10,0.7,7.29
8,10,0.8,7.072
8,10,0.8,7.278
6,10,0.6,7.431
9,10,0.9,8.231
8,10,0.8,8.311
10,10,1,8.357
9,10,0.9,8.223
10,10,1,8.436
10,10,1,9.387
10,10,1,9.148
9,10,0.9,9.244
8,10,0.8,9.064
9,10,0.9,9.45
9,10,0.9,10.405
10,10,1,10.028
10,10,1,10.24
9,10,0.9,10.226
10,10,1,10.298
