germination,size,germination_rate,solar,nutrition,rain,temperature,wind
0,10,0,shade,1.213,5,20,5
0,10,0,shade,1.19,51,25,5
0,10,0,shade,1.199,61,15,1
0,10,0,shade,1.07,12,15,2
0,10,0,shade,1.425,99,20,4
0,10,0,shade,2.117,78,25,0
0,10,0,shade,2.291,0,20,3
0,10,0,shade,2.314,51,25,4
0,10,0,shade,2.329,95,20,2
0,10,0,shade,2.163,1,20,5
0,10,0,shade,3.478,61,20,4
0,10,0,shade,3.126,3,15,2
0,10,0,shade,3.437,46,15,2
0,10,0,shade,3.062,75,25,1
0,10,0,shade,3.099,32,20,1
0,10,0,shade,4.128,29,25,2
0,10,0,shade,4.339,36,15,1
1,10,0.1,shade,4.403,44,25,3
0,10,0,shade,4.398,58,20,2
0,10,0,shade,4.297,83,15,2
1,10,0.1,shade,5.244,53,20,2
0,10,0,shade,5.275,77,25,2
0,10,0,shade,5.288,75,20,3
0,10,0,shade,5.183,34,15,2
0,10,0,shade,5.304,93,25,3
0,10,0,shade,6.071,35,25,3
0,10,0,shade,6.346,60,20,0
0,10,0,shade,6.443,96,25,2
1,10,0.1,shade,6.205,27,20,0
0,10,0,shade,6.109,93,25,5
0,10,0,shade,7.096,72,15,3
0,10,0,shade,7.07,70,20,1
0,10,0,shade,7.054,96,15,1
0,10,0,shade,7.157,90,25,3
1,10,0.1,shade,7.214,21,20,5
1,10,0.1,shade,8.033,36,25,4
2,10,0.2,shade,8.092,70,20,5
0,10,0,shade,8.152,50,20,4
1,10,0.1,shade,8.186,80,25,1
1,10,0.1,shade,8.185,11,25,4
3,10,0.3,shade,9.232,89,25,2
2,10,0.2,shade,9.006,94,25,1
2,10,0.2,shade,9.255,38,15,1
2,10,0.2,shade,9.349,89,15,1
2,10,0.2,shade,9.029,23,15,3
4,10,0.4,shade,10.343,40,20,5
0,10,0,shade,10.478,28,20,5
3,10,0.3,shade,10.365,95,25,2
4,10,0.4,shade,10.35,28,20,1
3,10,0.3,shade,10.364,72,20,3
0,10,0,sunshine,1.113,8,15,1
1,10,0.1,sunshine,1.411,74,15,4
0,10,0,sunshine,1.162,55,15,3
0,10,0,sunshine,1.181,0,15,5
0,10,0,sunshine,1.422,72,25,1
0,10,0,sunshine,2.237,8,25,1
0,10,0,sunshine,2.081,78,20,3
1,10,0.1,sunshine,2.04,85,15,1
1,10,0.1,sunshine,2.387,51,25,5
1,10,0.1,sunshine,2.183,50,15,5
3,10,0.3,sunshine,3.098,42,25,1
1,10,0.1,sunshine,3.159,83,15,1
2,10,0.2,sunshine,3.129,45,25,2
1,10,0.1,sunshine,3.265,48,20,1
2,10,0.2,sunshine,3.152,86,25,0
2,10,0.2,sunshine,4.133,28,20,2
3,10,0.3,sunshine,4.141,71,15,3
4,10,0.4,sunshine,4.127,34,25,3
1,10,0.1,sunshine,4.003,78,25,1
5,10,0.5,sunshine,4.151,97,20,4
4,10,0.4,sunshine,5.331,61,25,1
6,10,0.6,sunshine,5.229,51,20,1
4,10,0.4,sunshine,5.27,84,20,0
4,10,0.4,sunshine,5.447,71,15,5
4,10,0.4,sunshine,5.099,99,20,5
4,10,0.4,sunshine,6.455,93,25,0
4,10,0.4,sunshine,6.312,42,15,3
6,10,0.6,sunshine,6.461,74,15,4
5,10,0.5,sunshine,6.427,96,15,1
3,10,0.3,sunshine,6.373,0,15,4
8,10,0.8,sunshine,7.406,60,25,3
7,10,0.7,sunshine,7.29,16,25,2
8,10,0.8,sunshine,7.072,73,20,1
8,10,0.8,sunshine,7.278,75,25,5
6,10,0.6,sunshine,7.431,41,15,4
9,10,0.9,sunshine,8.231,61,25,3
8,10,0.8,sunshine,8.311,5,25,1
10,10,1,sunshine,8.357,3,15,2
9,10,0.9,sunshine,8.223,14,20,1
10,10,1,sunshine,8.436,97,25,2
10,10,1,sunshine,9.387,34,20,5
10,10,1,sunshine,9.148,21,25,1
9,10,0.9,sunshine,9.244,79,15,3
8,10,0.8,sunshine,9.064,32,25,1
9,10,0.9,sunshine,9.45,32,15,1
9,10,0.9,sunshine,10.405,83,20,0
10,10,1,sunshine,10.028,43,20,0
10,10,1,sunshine,10.24,50,25,1
9,10,0.9,sunshine,10.226,1,25,5
10,10,1,sunshine,10.298,41,20,0
