seed_num,moisture,temperature
0,0.7,20
2,0.9,30
0,1.4,20
0,2.1,20
0,3.3,20
0,3.9,20
3,4.7,30
0,4.9,20
0,5.2,20
1,5.7,25
1,5.8,25
0,8.1,20
0,8.1,20
1,8.1,25
1,8.3,25
0,9,20
2,10.1,30
0,10.7,20
1,11.3,25
0,11.3,20
0,11.7,20
0,11.9,20
1,13,25
2,13.7,30
1,14.6,25
2,15.8,30
4,16.9,25
1,17,20
2,17.1,20
4,18.3,25
1,18.5,20
2,19.6,20
1,20.1,20
6,20.2,30
2,21.1,20
2,21.6,20
5,21.8,30
2,22.2,20
2,22.5,20
5,22.9,30
3,23.9,25
4,24.4,25
3,24.7,25
9,25.4,30
3,26.1,25
5,28,30
3,28.1,25
4,29,25
11,29.2,30
7,30,30
